Name	Type
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCILY19	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM6	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKMM2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI6	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MINO	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LAMA84	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMLT1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EHEB	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV173	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DOHH2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM6	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LP1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PF382	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHHCALL3	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURLMK1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE37	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JK1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RI1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS422	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L540	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHHCALL4	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ5	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDLM2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KOPN8	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HS751T	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPM2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS299	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS20	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SET2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUDHL8	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL41	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PCM6	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TALL1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS18	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NAMALWA	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO775	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK86	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCIH441_LUNG	NCIH441	LUNG_NSCLC
RERFLCSQ1_LUNG	RERFLCSQ1	LUNG_NSCLC
NCIH2030_LUNG	NCIH2030	LUNG_NSCLC
NCIH2122_LUNG	NCIH2122	LUNG_NSCLC
RERFLCAI_LUNG	RERFLCAI	LUNG_NSCLC
SKMES1_LUNG	SKMES1	LUNG_NSCLC
CALU6_LUNG	CALU6	LUNG_NSCLC
PC14_LUNG	PC14	LUNG_NSCLC
NCIH460_LUNG	NCIH460	LUNG_NSCLC
CALU1_LUNG	CALU1	LUNG_NSCLC
NCIH2170_LUNG	NCIH2170	LUNG_NSCLC
SQ1_LUNG	SQ1	LUNG_NSCLC
NCIH1299_LUNG	NCIH1299	LUNG_NSCLC
HLFA_LUNG	HLFA	LUNG_NSCLC
NCIH522_LUNG	NCIH522	LUNG_NSCLC
NCIH661_LUNG	NCIH661	LUNG_NSCLC
HCC78_LUNG	HCC78	LUNG_NSCLC
ABC1_LUNG	ABC1	LUNG_NSCLC
NCIH1703_LUNG	NCIH1703	LUNG_NSCLC
NCIH1581_LUNG	NCIH1581	LUNG_NSCLC
NCIH1395_LUNG	NCIH1395	LUNG_NSCLC
NCIH1781_LUNG	NCIH1781	LUNG_NSCLC
CORL23_LUNG	CORL23	LUNG_NSCLC
MORCPR_LUNG	MORCPR	LUNG_NSCLC
HARA_LUNG	HARA	LUNG_NSCLC
NCIH1568_LUNG	NCIH1568	LUNG_NSCLC
NCIH1563_LUNG	NCIH1563	LUNG_NSCLC
NCIH1650_LUNG	NCIH1650	LUNG_NSCLC
NCIH1437_LUNG	NCIH1437	LUNG_NSCLC
KNS62_LUNG	KNS62	LUNG_NSCLC
NCIH1792_LUNG	NCIH1792	LUNG_NSCLC
IALM_LUNG	IALM	LUNG_NSCLC
NCIH1355_LUNG	NCIH1355	LUNG_NSCLC
LU99_LUNG	LU99	LUNG_NSCLC
CAL12T_LUNG	CAL12T	LUNG_NSCLC
LUDLU1_LUNG	LUDLU1	LUNG_NSCLC
RERFLCAD2_LUNG	RERFLCAD2	LUNG_NSCLC
NCIH2087_LUNG	NCIH2087	LUNG_NSCLC
NCIH1573_LUNG	NCIH1573	LUNG_NSCLC
NCIH226_LUNG	NCIH226	LUNG_NSCLC
NCIH1666_LUNG	NCIH1666	LUNG_NSCLC
NCIH2342_LUNG	NCIH2342	LUNG_NSCLC
NCIH322_LUNG	NCIH322	LUNG_NSCLC
HS618T_LUNG	HS618T	LUNG_NSCLC
DV90_LUNG	DV90	LUNG_NSCLC
NCIH1648_LUNG	NCIH1648	LUNG_NSCLC
NCIH1623_LUNG	NCIH1623	LUNG_NSCLC
HS229T_LUNG	HS229T	LUNG_NSCLC
NCIH1838_LUNG	NCIH1838	LUNG_NSCLC
RERFLCKJ_LUNG	RERFLCKJ	LUNG_NSCLC
NCIH1435_LUNG	NCIH1435	LUNG_NSCLC
NCIH1869_LUNG	NCIH1869	LUNG_NSCLC
HCC2935_LUNG	HCC2935	LUNG_NSCLC
LCLC103H_LUNG	LCLC103H	LUNG_NSCLC
LCLC97TM1_LUNG	LCLC97TM1	LUNG_NSCLC
NCIH2126_LUNG	NCIH2126	LUNG_NSCLC
LXF289_LUNG	LXF289	LUNG_NSCLC
HCC95_LUNG	HCC95	LUNG_NSCLC
HCC1438_LUNG	HCC1438	LUNG_NSCLC
HCC2108_LUNG	HCC2108	LUNG_NSCLC
HCC1359_LUNG	HCC1359	LUNG_NSCLC
CHAGOK1_LUNG	CHAGOK1	LUNG_NSCLC
NCIH2172_LUNG	NCIH2172	LUNG_NSCLC
NCIH650_LUNG	NCIH650	LUNG_NSCLC
SW1573_LUNG	SW1573	LUNG_NSCLC
NCIH854_LUNG	NCIH854	LUNG_NSCLC
CORL105_LUNG	CORL105	LUNG_NSCLC
NCIH1915_LUNG	NCIH1915	LUNG_NSCLC
HCC2279_LUNG	HCC2279	LUNG_NSCLC
HCC1588_LUNG	HCC1588	LUNG_NSCLC
NCIH838_LUNG	NCIH838	LUNG_NSCLC
NCIH292_LUNG	NCIH292	LUNG_NSCLC
NCIH3255_LUNG	NCIH3255	LUNG_NSCLC
HCC827GR5_LUNG	HCC827GR5	LUNG_NSCLC
NCIH524_LUNG	NCIH524	LUNG_SCLC
NCIH209_LUNG	NCIH209	LUNG_SCLC
SBC5_LUNG	SBC5	LUNG_SCLC
NCIH196_LUNG	NCIH196	LUNG_SCLC
NCIH889_LUNG	NCIH889	LUNG_SCLC
NCIH2171_LUNG	NCIH2171	LUNG_SCLC
NCIH1963_LUNG	NCIH1963	LUNG_SCLC
NCIH526_LUNG	NCIH526	LUNG_SCLC
NCIH2196_LUNG	NCIH2196	LUNG_SCLC
NCIH446_LUNG	NCIH446	LUNG_SCLC
NCIH146_LUNG	NCIH146	LUNG_SCLC
DMS79_LUNG	DMS79	LUNG_SCLC
SW1271_LUNG	SW1271	LUNG_SCLC
NCIH82_LUNG	NCIH82	LUNG_SCLC
DMS53_LUNG	DMS53	LUNG_SCLC
NCIH1694_LUNG	NCIH1694	LUNG_SCLC
NCIH1184_LUNG	NCIH1184	LUNG_SCLC
NCIH2227_LUNG	NCIH2227	LUNG_SCLC
NCIH510_LUNG	NCIH510	LUNG_SCLC
NCIH2066_LUNG	NCIH2066	LUNG_SCLC
NCIH1341_LUNG	NCIH1341	LUNG_SCLC
NCIH2029_LUNG	NCIH2029	LUNG_SCLC
CPCN_LUNG	CPCN	LUNG_SCLC
DMS153_LUNG	DMS153	LUNG_SCLC
NCIH1048_LUNG	NCIH1048	LUNG_SCLC
NCIH1618_LUNG	NCIH1618	LUNG_SCLC
NCIH69_LUNG	NCIH69	LUNG_SCLC
NCIH1930_LUNG	NCIH1930	LUNG_SCLC
NCIH1836_LUNG	NCIH1836	LUNG_SCLC
DMS114_LUNG	DMS114	LUNG_SCLC
SCLC21H_LUNG	SCLC21H	LUNG_SCLC
SHP77_LUNG	SHP77	LUNG_SCLC
NCIH841_LUNG	NCIH841	LUNG_SCLC
NCIH2141_LUNG	NCIH2141	LUNG_SCLC
NCIH2110_LUNG	NCIH2110	LUNG_SCLC
DMS454_LUNG	DMS454	LUNG_SCLC
CORL47_LUNG	CORL47	LUNG_SCLC
DMS273_LUNG	DMS273	LUNG_SCLC
CORL311_LUNG	CORL311	LUNG_SCLC
NCIH2286_LUNG	NCIH2286	LUNG_SCLC
NCIH1339_LUNG	NCIH1339	LUNG_SCLC
NCIH2081_LUNG	NCIH2081	LUNG_SCLC
NCIH1092_LUNG	NCIH1092	LUNG_SCLC
NCIH1105_LUNG	NCIH1105	LUNG_SCLC
NCIH1436_LUNG	NCIH1436	LUNG_SCLC
NCIH1876_LUNG	NCIH1876	LUNG_SCLC
CORL24_LUNG	CORL24	LUNG_SCLC
CORL88_LUNG	CORL88	LUNG_SCLC
CORL95_LUNG	CORL95	LUNG_SCLC
CORL51_LUNG	CORL51	LUNG_SCLC
HCC33_LUNG	HCC33	LUNG_SCLC
COLO668_LUNG	COLO668	LUNG_SCLC
CORL279_LUNG	CORL279	LUNG_SCLC
COLO829_SKIN	COLO829	SKIN
IPC298_SKIN	IPC298	SKIN
SKMEL24_SKIN	SKMEL24	SKIN
K029AX_SKIN	K029AX	SKIN
HS695T_SKIN	HS695T	SKIN
CHL1_SKIN	CHL1	SKIN
SKMEL3_SKIN	SKMEL3	SKIN
HMCB_SKIN	HMCB	SKIN
MALME3M_SKIN	MALME3M	SKIN
MELJUSO_SKIN	MELJUSO	SKIN
SKMEL2_SKIN	SKMEL2	SKIN
COLO679_SKIN	COLO679	SKIN
WM115_SKIN	WM115	SKIN
COLO800_SKIN	COLO800	SKIN
UACC62_SKIN	UACC62	SKIN
A375_SKIN	A375	SKIN
HS294T_SKIN	HS294T	SKIN
SKMEL5_SKIN	SKMEL5	SKIN
HS944T_SKIN	HS944T	SKIN
WM2664_SKIN	WM2664	SKIN
COLO849_SKIN	COLO849	SKIN
LOXIMVI_SKIN	LOXIMVI	SKIN
UACC257_SKIN	UACC257	SKIN
IGR37_SKIN	IGR37	SKIN
MELHO_SKIN	MELHO	SKIN
G361_SKIN	G361	SKIN
COLO741_SKIN	COLO741	SKIN
SKMEL30_SKIN	SKMEL30	SKIN
C32_SKIN	C32	SKIN
RVH421_SKIN	RVH421	SKIN
HS895T_SKIN	HS895T	SKIN
HS940T_SKIN	HS940T	SKIN
SKMEL1_SKIN	SKMEL1	SKIN
HS936T_SKIN	HS936T	SKIN
HT144_SKIN	HT144	SKIN
SKMEL31_SKIN	SKMEL31	SKIN
HS839T_SKIN	HS839T	SKIN
HS939T_SKIN	HS939T	SKIN
HS688AT_SKIN	HS688AT	SKIN
HS600T_SKIN	HS600T	SKIN
A101D_SKIN	A101D	SKIN
HS852T_SKIN	HS852T	SKIN
HS934T_SKIN	HS934T	SKIN
HS834T_SKIN	HS834T	SKIN
RPMI7951_SKIN	RPMI7951	SKIN
COLO783_SKIN	COLO783	SKIN
COLO792_SKIN	COLO792	SKIN
WM983B_SKIN	WM983B	SKIN
WM793_SKIN	WM793	SKIN
MDAMB435S_SKIN	MDAMB435S	SKIN
WM1799_SKIN	WM1799	SKIN
MEWO_SKIN	MEWO	SKIN
WM88_SKIN	WM88	SKIN
IGR1_SKIN	IGR1	SKIN
IGR39_SKIN	IGR39	SKIN
COLO818_SKIN	COLO818	SKIN
SKMEL28_SKIN	SKMEL28	SKIN
SH4_SKIN	SH4	SKIN
CJM_SKIN	CJM	SKIN
GRM_SKIN	GRM	SKIN
A2058_SKIN	A2058	SKIN
BJHTERT_SKIN	BJHTERT	SKIN
