Name	Type
DKMG_CENTRAL_NERVOUS_SYSTEM	DKMG	CENTRAL_NERVOUS_SYSTEM
SNU201_CENTRAL_NERVOUS_SYSTEM	SNU201	CENTRAL_NERVOUS_SYSTEM
SNU466_CENTRAL_NERVOUS_SYSTEM	SNU466	CENTRAL_NERVOUS_SYSTEM
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU1105	CENTRAL_NERVOUS_SYSTEM
SNU738_CENTRAL_NERVOUS_SYSTEM	SNU738	CENTRAL_NERVOUS_SYSTEM
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU626	CENTRAL_NERVOUS_SYSTEM
DAOY_CENTRAL_NERVOUS_SYSTEM	DAOY	CENTRAL_NERVOUS_SYSTEM
TM31_CENTRAL_NERVOUS_SYSTEM	TM31	CENTRAL_NERVOUS_SYSTEM
U138MG_CENTRAL_NERVOUS_SYSTEM	U138MG	CENTRAL_NERVOUS_SYSTEM
U118MG_CENTRAL_NERVOUS_SYSTEM	U118MG	CENTRAL_NERVOUS_SYSTEM
GB1_CENTRAL_NERVOUS_SYSTEM	GB1	CENTRAL_NERVOUS_SYSTEM
SNU489_CENTRAL_NERVOUS_SYSTEM	SNU489	CENTRAL_NERVOUS_SYSTEM
LN443_CENTRAL_NERVOUS_SYSTEM	LN443	CENTRAL_NERVOUS_SYSTEM
LN235_CENTRAL_NERVOUS_SYSTEM	LN235	CENTRAL_NERVOUS_SYSTEM
LN428_CENTRAL_NERVOUS_SYSTEM	LN428	CENTRAL_NERVOUS_SYSTEM
SF172_CENTRAL_NERVOUS_SYSTEM	SF172	CENTRAL_NERVOUS_SYSTEM
U343_CENTRAL_NERVOUS_SYSTEM	U343	CENTRAL_NERVOUS_SYSTEM
LN215_CENTRAL_NERVOUS_SYSTEM	LN215	CENTRAL_NERVOUS_SYSTEM
LN464_CENTRAL_NERVOUS_SYSTEM	LN464	CENTRAL_NERVOUS_SYSTEM
U178_CENTRAL_NERVOUS_SYSTEM	U178	CENTRAL_NERVOUS_SYSTEM
F5_CENTRAL_NERVOUS_SYSTEM	F5	CENTRAL_NERVOUS_SYSTEM
SF767_CENTRAL_NERVOUS_SYSTEM	SF767	CENTRAL_NERVOUS_SYSTEM
A1207_CENTRAL_NERVOUS_SYSTEM	A1207	CENTRAL_NERVOUS_SYSTEM
LN319_CENTRAL_NERVOUS_SYSTEM	LN319	CENTRAL_NERVOUS_SYSTEM
LN382_CENTRAL_NERVOUS_SYSTEM	LN382	CENTRAL_NERVOUS_SYSTEM
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	IOMMLEE	CENTRAL_NERVOUS_SYSTEM
LNZ308_CENTRAL_NERVOUS_SYSTEM	LNZ308	CENTRAL_NERVOUS_SYSTEM
LN340_CENTRAL_NERVOUS_SYSTEM	LN340	CENTRAL_NERVOUS_SYSTEM
CH157MN_CENTRAL_NERVOUS_SYSTEM	CH157MN	CENTRAL_NERVOUS_SYSTEM
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT4	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS12BM	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL60	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1S	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RS411	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L1236	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K562	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RL	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SEM	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDMYZ	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI8226	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MC116	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HS604T	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA10	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DAUDI	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MJ	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS21BM	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS26	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS28BM	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS34	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHM1B	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KIJK	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK115	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS11	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE97	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U266B1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMM1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT78	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUNS1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HS611T	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TOLEDO	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAJI	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPT1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT102	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPB15	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCIH929	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PEER	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
